dataset,window_idx,persona,history_length,horizon,overall_consistency,is_consistent,contradiction_rate,semantic_vs_template,num_sentences,mase,mase_first,fair_mase,coverage_pct,interval_sharpness,rst_relations,top_covariate,top_covariate_impact_pct
Weather,0,analyst,512,96,0.7735727230707804,True,0.0,0.8344869017601013,6,1.1741294801842521,0.6641799298510729,0.3897227649331336,89.58333333333334,0.5746857671255478,"elaboration,cause",temp_min,41.328403015417855
Weather,0,executive,512,96,0.6443456977605819,False,0.2,0.8207003474235535,5,1.1741294801842521,0.6641799298510729,0.3897227649331336,89.58333333333334,0.5746857671255478,"elaboration,cause",temp_min,41.328403015417855
Weather,1,analyst,512,96,0.8316137433052063,True,0.0,0.808845925858374,5,1.131537052835928,0.6673999062852863,0.29253714914544776,87.5,0.6011629394904345,"elaboration,cause",temp_min,40.868386198460655
Weather,1,executive,512,96,0.6899787858128548,False,0.25,0.7622805833816528,4,1.131537052835928,0.6673999062852863,0.29253714914544776,87.5,0.6011629394904345,"elaboration,cause",temp_min,40.868386198460655
Weather,2,analyst,512,96,0.73223298539718,True,0.16666666666666666,0.8969045877456665,6,1.1550006554605852,1.7213532831673126,0.668294277138618,89.58333333333334,0.6121498681827934,"elaboration,cause",temp_min,39.03266857624409
Weather,2,executive,512,96,0.5649375464767218,False,0.4,0.8254928588867188,5,1.1550006554605852,1.7213532831673126,0.668294277138618,89.58333333333334,0.6121498681827934,"elaboration,cause",temp_min,39.03266857624409
Weather,3,analyst,512,96,0.6837001123598644,False,0.14285714285714285,0.8591229319572449,7,1.1236546536472423,0.36859095602890546,0.5909363298805974,87.5,0.61826437295316,"elaboration,cause",temp_min,39.99494219619449
Weather,3,executive,512,96,0.6646200194954872,False,0.0,0.6785928606987,4,1.1236546536472423,0.36859095602890546,0.5909363298805974,87.5,0.61826437295316,"elaboration,cause",temp_min,39.99494219619449
Weather,4,analyst,512,96,0.7879414359728495,True,0.0,0.8287201523780823,6,1.2288112325851133,0.6279615454417048,0.5341192103803665,86.45833333333334,0.6525917010392972,"elaboration,cause",temp_min,40.255310285365645
Weather,4,executive,512,96,0.6760263033211231,False,0.25,0.7332782745361328,4,1.2288112325851133,0.6279615454417048,0.5341192103803665,86.45833333333334,0.6525917010392972,"elaboration,cause",temp_min,40.255310285365645
Weather,5,analyst,512,96,0.7141745785872141,True,0.0,0.8806406784439491,6,1.2372952491891402,0.3171744646833623,0.832032890993366,84.375,0.6176569047802224,"elaboration,cause",temp_min,40.15667471954838
Weather,5,executive,512,96,0.7388878643512726,True,0.0,0.7877307407695496,5,1.2372952491891402,0.3171744646833623,0.832032890993366,84.375,0.6176569047802224,"elaboration,cause",temp_min,40.15667471954838
Weather,6,analyst,512,96,0.8274143785238266,True,0.0,0.7534845920493956,4,1.228733772415433,0.5460009982926924,0.3364992692492879,88.54166666666666,0.613806880815199,cause,temp_min,39.16317895560744
Weather,6,executive,512,96,0.6805937647819519,False,0.0,0.7243126466460613,5,1.228733772415433,0.5460009982926924,0.3364992692492879,88.54166666666666,0.613806880815199,cause,temp_min,39.16317895560744
Weather,7,analyst,512,96,0.768628990650177,True,0.0,0.8116742372512817,5,1.2172933147829568,1.2543444802047747,0.697814137009422,87.5,0.5305853020151458,cause,temp_min,40.236852823997275
Weather,7,executive,512,96,0.6328946426510811,False,0.25,0.7825617790222168,4,1.2172933147829568,1.2543444802047747,0.697814137009422,87.5,0.5305853020151458,cause,temp_min,40.236852823997275
Weather,8,analyst,512,96,0.8274480005105337,True,0.0,0.8492436408996582,6,1.1975679527131629,2.0422934024089336,0.44047746287406064,88.54166666666666,0.5065601565073264,"elaboration,cause",temp_min,39.36096185479814
Weather,8,executive,512,96,0.7758562862873077,True,0.0,0.8496336936950684,5,1.1975679527131629,2.0422934024089336,0.44047746287406064,88.54166666666666,0.5065601565073264,"elaboration,cause",temp_min,39.36096185479814
Weather,9,analyst,512,96,0.7350767950216929,True,0.0,0.8680548667907715,6,1.2286906628034324,1.413165246747762,0.6956186355363803,88.54166666666666,0.5118648181029407,"elaboration,cause",temp_min,39.14785855868559
Weather,9,executive,512,96,0.752769660949707,True,0.0,0.7423120737075806,5,1.2286906628034324,1.413165246747762,0.6956186355363803,88.54166666666666,0.5118648181029407,"elaboration,cause",temp_min,39.14785855868559
Weather,10,analyst,512,96,0.6235297371943792,False,0.0,0.8725131674118738,6,1.192225041980274,1.3717873856556222,0.6312254782417376,87.5,0.5207340800178372,"elaboration,cause",temp_min,38.30851226967458
Weather,10,executive,512,96,0.6829085946083069,False,0.0,0.6774489091306275,5,1.192225041980274,1.3717873856556222,0.6312254782417376,87.5,0.5207340800178372,"elaboration,cause",temp_min,38.30851226967458
Weather,11,analyst,512,96,0.6564422334943499,False,0.0,0.8896899223327637,7,1.1646691506629816,1.8927233996751727,0.46049010799405865,90.625,0.5318365128119412,"elaboration,cause",temp_min,39.14735662487682
Weather,11,executive,512,96,0.6104567863047123,False,0.2,0.6264748573303223,5,1.1646691506629816,1.8927233996751727,0.46049010799405865,90.625,0.5318365128119412,"elaboration,cause",temp_min,39.14735662487682
Weather,12,analyst,512,96,0.7784374008576075,True,0.0,0.8537872346512815,6,1.2068724985391877,2.39739572105807,0.30856292437216054,86.45833333333334,0.47760377029151535,"elaboration,cause",temp_min,39.12522443373215
Weather,12,executive,512,96,0.5476333933571974,False,0.5,0.8123546242713928,6,1.2068724985391877,2.39739572105807,0.30856292437216054,86.45833333333334,0.47760377029151535,"elaboration,cause",temp_min,39.12522443373215
Weather,13,analyst,512,96,0.6414010226726532,False,0.0,0.8578395843505859,6,1.1650806064006134,0.02797116952783983,0.4983495838892282,86.45833333333334,0.4669101066170377,"elaboration,cause",temp_min,38.30934417652656
Weather,13,executive,512,96,0.7429526686668396,True,0.0,0.7489023654998759,5,1.1650806064006134,0.02797116952783983,0.4983495838892282,86.45833333333334,0.4669101066170377,"elaboration,cause",temp_min,38.30934417652656
Weather,14,analyst,512,96,0.8203549881776174,True,0.0,0.8524863544090217,6,1.1930122216383099,1.6265255209526734,0.26799201186424976,88.54166666666666,0.49444176819866514,"elaboration,cause",temp_min,37.6965160913253
Weather,14,executive,512,96,0.7775079607963562,True,0.0,0.770271466390578,4,1.1930122216383099,1.6265255209526734,0.26799201186424976,88.54166666666666,0.49444176819866514,"elaboration,cause",temp_min,37.6965160913253
Weather,15,analyst,512,96,0.6037257810433706,False,0.16666666666666666,0.8882007136105641,6,1.226461699239119,0.2615471249967991,0.4662212835109819,90.625,0.5119300926912115,"elaboration,cause",temp_min,39.00552950306142
Weather,15,executive,512,96,0.5601569294929505,False,0.2,0.7001929044493551,5,1.226461699239119,0.2615471249967991,0.4662212835109819,90.625,0.5119300926912115,"elaboration,cause",temp_min,39.00552950306142
Weather,16,analyst,512,96,0.7147300094366074,True,0.0,0.8790308092869293,6,0.9990683018493386,0.9505252906826793,0.39403471616235114,92.70833333333334,0.4579677482861689,"elaboration,cause",temp_min,38.848796049902774
Weather,16,executive,512,96,0.8260642290115356,True,0.0,0.7709977949855084,4,0.9990683018493386,0.9505252906826793,0.39403471616235114,92.70833333333334,0.4579677482861689,"elaboration,cause",temp_min,38.848796049902774
Weather,17,analyst,512,96,0.7554952740669251,True,0.0,0.789375233016922,5,1.00944137188789,1.9036029159829582,0.20624431938436028,93.75,0.5012137199878028,"elaboration,cause",temp_min,36.89783840455255
Weather,17,executive,512,96,0.6183078033583504,False,0.14285714285714285,0.8128492124586828,7,1.00944137188789,1.9036029159829582,0.20624431938436028,93.75,0.5012137199878028,"elaboration,cause",temp_min,36.89783840455255
Weather,18,analyst,512,96,0.6646718723433358,False,0.0,0.8800482749938965,7,1.0092367417315489,0.5417015241966942,0.31593138509591645,91.66666666666666,0.4641749675968867,"elaboration,cause",temp_min,37.87293688044983
Weather,18,executive,512,96,0.6686623990535736,False,0.0,0.6663389007055104,4,1.0092367417315489,0.5417015241966942,0.31593138509591645,91.66666666666666,0.4641749675968867,"elaboration,cause",temp_min,37.87293688044983
Weather,19,analyst,512,96,0.7657354644366673,True,0.0,0.9042931795120239,7,0.9415744206764544,1.8296375794740438,0.3612225909240584,96.875,0.5055097009846357,"elaboration,cause",temp_min,37.50269747110557
Weather,19,executive,512,96,0.6667813435196877,False,0.0,0.774469719795568,4,0.9415744206764544,1.8296375794740438,0.3612225909240584,96.875,0.5055097009846357,"elaboration,cause",temp_min,37.50269747110557
Weather,20,analyst,512,96,0.7005763165652752,True,0.16666666666666666,0.8783852313024081,6,0.9097884232146887,0.7427978892256948,0.2182986370077962,93.75,0.40762626150406495,"elaboration,cause",temp_min,37.13004882964041
