perturbation,n_valid_rho,mean_signal,mean_rho,std_rho
remove,20,0.026863118182730274,5.551115123125783e-18,0.4413337854777058
negate,20,0.010219158246599884,0.1885714285714286,0.4103159559089427
scale,20,4.241565518998833e-08,0.009249236774675113,0.5127997954707216
